WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
340.0,7.0,9.0,0.7,,3.3,275.0,1026.0,7.0,17.7,-1.7,,,
340.0,8.0,9.0,0.7,4.0,3.3,275.0,1026.2,7.2,17.7,-1.3,,,
340.0,7.0,9.0,,,,,1026.3,7.2,17.7,-1.1,,,
340.0,8.0,10.0,0.7,,3.4,271.0,1026.3,7.2,17.7,-1.9,,,
350.0,8.0,11.0,0.7,4.0,3.4,271.0,1026.3,7.3,17.7,-1.5,,,
350.0,8.0,10.0,,,,,1026.4,7.2,17.7,-2.4,,0.6,
350.0,8.0,9.0,0.7,,3.4,268.0,1026.4,7.4,17.7,-1.3,,,
350.0,8.0,10.0,0.7,5.0,3.4,268.0,1026.5,7.4,17.8,-2.1,,,
340.0,8.0,11.0,,,,,1026.6,7.3,17.8,-2.3,,,
330.0,8.0,10.0,,,,,1026.8,7.4,17.8,-1.6,,,
340.0,8.0,10.0,0.7,3.0,3.3,347.0,1026.9,7.4,17.8,-1.6,,,
330.0,8.0,10.0,,,,,1027.2,7.4,17.8,-1.8,,1.3,
340.0,7.0,10.0,0.7,,3.4,348.0,1027.3,7.5,17.8,-2.3,,,
340.0,7.0,9.0,0.7,3.0,3.4,348.0,1027.3,7.6,17.8,-1.7,,,
330.0,8.0,11.0,,,,,1027.4,7.8,17.9,-1.4,,,
340.0,8.0,10.0,,,,,1027.6,7.8,17.9,-1.6,,,
340.0,8.0,11.0,0.7,3.0,3.3,345.0,1027.8,7.9,17.9,-1.9,,,
330.0,9.0,11.0,,,,,1027.8,8.0,17.9,-2.4,,1.7,
340.0,9.0,11.0,0.7,,3.3,344.0,1027.9,7.9,17.9,-2.8,,,
340.0,8.0,11.0,0.7,3.0,3.3,344.0,1028.0,7.9,17.9,-2.7,,,
350.0,8.0,11.0,,,,,1028.1,8.0,17.9,-2.0,,,
350.0,8.0,11.0,,,,,1028.2,7.9,18.0,-2.3,,,
350.0,8.0,11.0,0.7,3.0,3.3,328.0,1028.2,7.8,18.0,-2.8,,,
350.0,8.0,10.0,,,,,1028.3,7.8,18.0,-2.2,,1.7,
350.0,7.0,10.0,0.7,,3.2,337.0,1028.5,7.8,18.0,-2.0,,,
350.0,7.0,10.0,0.7,3.0,3.2,337.0,1028.5,7.9,18.0,-1.9,,,
350.0,7.0,10.0,,,,,1028.6,7.9,18.0,-1.8,,,
350.0,7.0,9.0,,,,,1028.7,7.7,18.0,-2.5,,,
10.0,7.0,9.0,0.7,3.0,3.2,342.0,1028.7,7.7,18.0,-2.5,,,
10.0,7.0,9.0,,,,,1028.7,7.7,18.0,-2.6,,1.4,
10.0,6.0,9.0,,,,,1028.7,7.7,18.0,-2.5,,,
10.0,6.0,8.0,0.6,3.0,3.2,355.0,1028.6,7.8,18.0,-2.3,,,
360.0,6.0,9.0,,,,,1028.7,7.8,18.0,-3.1,,,
10.0,6.0,9.0,,,,,1028.7,8.0,18.0,-3.0,,,
10.0,6.0,9.0,0.6,3.0,3.2,339.0,1028.6,8.1,18.0,-3.0,,,
10.0,5.0,7.0,,,,,1028.5,8.0,18.0,-3.7,,0.9,
10.0,4.0,6.0,0.5,,3.3,347.0,1028.2,8.0,18.0,-3.7,,,
20.0,4.0,6.0,0.5,3.0,3.3,347.0,1028.2,8.1,18.0,-3.1,,,
360.0,4.0,6.0,,,,,1028.1,8.2,18.0,-3.6,,,
360.0,3.0,5.0,,,,,1027.9,8.2,18.0,-3.9,,,
10.0,3.0,5.0,0.5,3.0,3.3,3.0,1027.7,8.4,18.0,-4.0,,,
10.0,3.0,5.0,,,,,1027.4,8.5,18.1,-3.7,,-0.6,
