WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
190.0,3.0,4.0,,,,,1026.9,6.9,,5.3,,,
180.0,3.0,4.0,0.4,12.0,4.5,96.0,1026.8,7.0,7.0,5.5,,,
190.0,4.0,5.0,,,,,1027.0,7.0,7.0,5.5,,,
200.0,4.0,5.0,,,,,1027.1,7.0,7.0,5.5,,,
190.0,3.0,4.0,0.4,8.0,4.3,135.0,1026.8,6.9,7.0,5.6,,,
170.0,4.0,5.0,,,,,1026.4,7.1,7.0,5.6,,-0.3,
170.0,5.0,6.0,,,,,1026.5,7.3,7.0,5.3,,,
170.0,5.0,6.0,0.4,8.0,4.4,156.0,1026.4,7.3,7.0,5.1,,,
160.0,6.0,7.0,,,,,1026.3,7.3,7.0,5.1,,,
160.0,6.0,7.0,0.5,,3.7,156.0,1026.4,7.4,7.0,5.1,,,
170.0,6.0,7.0,0.5,8.0,3.7,156.0,1026.4,7.4,7.0,5.2,,,
170.0,6.0,7.0,,,,,1026.4,7.4,7.0,5.2,,-0.5,
170.0,6.0,7.0,0.5,,3.5,146.0,1026.3,7.4,7.0,5.2,,,
170.0,6.0,7.0,0.5,8.0,3.5,146.0,1026.3,7.5,7.0,5.2,,,
170.0,6.0,7.0,,,,,1026.2,7.5,7.0,5.4,,,
170.0,6.0,7.0,,,,,1026.2,7.5,7.0,5.5,,,
170.0,6.0,7.0,0.5,8.0,3.5,147.0,1026.3,7.5,7.1,5.3,,,
180.0,6.0,7.0,,,,,1026.2,7.6,7.1,5.5,,-0.7,
170.0,6.0,7.0,,,,,1026.1,7.6,7.1,5.5,,,
170.0,6.0,7.0,0.6,3.0,3.5,172.0,1026.0,7.6,7.1,5.5,,,
170.0,6.0,8.0,,,,,1026.0,7.6,7.2,5.5,,,
170.0,7.0,8.0,,,,,1026.1,7.6,7.2,5.5,,,
170.0,6.0,7.0,0.6,7.0,3.5,145.0,1026.0,7.6,7.1,5.5,,,
170.0,6.0,7.0,,,,,1025.9,7.6,7.1,5.5,,-0.5,
170.0,6.0,8.0,,,,,1025.8,7.6,7.1,5.5,,,
170.0,6.0,8.0,0.6,3.0,3.6,158.0,1025.6,7.6,7.2,5.6,,,
170.0,6.0,8.0,,,,,1025.5,7.7,7.2,5.8,,,
170.0,6.0,8.0,,,,,1025.6,7.7,7.1,5.8,,,
170.0,7.0,7.0,0.6,3.0,3.5,161.0,1025.1,7.7,7.1,5.8,,,
170.0,7.0,8.0,,,,,1025.0,7.6,7.1,5.8,,-1.4,
170.0,6.0,7.0,,,,,1025.0,7.6,7.1,5.9,,,
160.0,6.0,7.0,0.7,4.0,3.7,155.0,1024.5,7.6,7.1,5.9,,,
160.0,6.0,7.0,,,,,1024.2,7.6,7.2,5.9,,,
160.0,6.0,7.0,,,,,1024.2,7.6,7.2,6.0,,,
170.0,6.0,7.0,0.7,3.0,3.7,159.0,1024.0,7.6,7.2,6.0,,,
160.0,6.0,7.0,,,,,1023.6,7.6,7.2,6.1,,-2.7,
160.0,6.0,8.0,,,,,1023.3,7.6,7.2,6.2,,,
160.0,6.0,8.0,0.7,3.0,3.6,166.0,1023.0,7.6,7.2,6.2,,,
160.0,7.0,9.0,,,,,1022.7,7.6,7.2,6.2,,,
160.0,7.0,8.0,,,,,1022.5,7.6,7.2,6.2,,,
170.0,6.0,8.0,0.7,4.0,3.6,149.0,1022.4,7.6,7.2,6.2,,,
170.0,6.0,8.0,,,,,1022.3,7.7,7.2,6.3,,-3.7,
170.0,6.0,7.0,,,,,1022.3,7.7,7.2,6.3,,,
170.0,6.0,7.0,0.7,4.0,3.6,141.0,1022.1,7.7,7.2,6.3,,,
170.0,6.0,7.0,,,,,1022.0,7.7,7.2,6.4,,,
170.0,6.0,7.0,,,,,1021.8,7.7,7.2,6.4,,,
180.0,6.0,7.0,0.8,4.0,3.7,144.0,1021.8,7.7,7.1,6.4,,,
180.0,6.0,7.0,,,,,1021.6,7.8,7.1,6.5,,-3.3,
180.0,6.0,7.0,0.7,,3.6,144.0,1021.4,7.8,7.1,6.5,,,
170.0,7.0,8.0,0.7,4.0,3.6,144.0,1021.1,7.8,7.1,6.6,,,
180.0,7.0,8.0,,,,,1021.3,7.8,7.1,6.6,,,
180.0,6.0,7.0,0.7,,3.6,147.0,1021.2,7.8,7.2,6.6,,,
180.0,5.0,7.0,0.7,4.0,3.6,147.0,1021.2,7.7,7.1,6.5,,,
190.0,6.0,7.0,,,,,1021.1,7.6,7.1,6.5,,-2.5,
180.0,6.0,7.0,0.7,,3.8,145.0,1020.8,7.5,7.1,6.4,,,
180.0,5.0,6.0,0.7,4.0,3.8,145.0,1020.8,7.4,7.1,6.4,,,
190.0,6.0,6.0,,,,,1020.9,7.4,7.0,6.5,,,
180.0,6.0,7.0,,,,,1020.7,7.3,7.0,6.4,,,
180.0,6.0,7.0,0.8,5.0,3.9,148.0,1020.5,7.3,6.9,6.4,,,
180.0,6.0,6.0,,,,,1020.3,7.3,7.0,6.4,,-1.9,
180.0,6.0,7.0,0.8,,3.8,142.0,1020.2,7.3,6.9,6.5,,,
180.0,6.0,7.0,0.8,5.0,3.8,142.0,1020.0,7.3,6.9,6.5,,,
170.0,6.0,7.0,,,,,1019.7,7.3,6.9,6.5,,,
180.0,6.0,7.0,,,,,1019.7,7.2,6.9,6.4,,,
180.0,6.0,7.0,0.8,5.0,3.9,145.0,1019.5,7.3,6.9,6.6,,,
180.0,6.0,7.0,,,,,1019.7,7.3,6.9,6.6,,-2.1,
190.0,6.0,7.0,,,,,1019.8,7.4,6.9,6.7,,,
190.0,7.0,9.0,0.8,5.0,3.9,152.0,1019.2,7.4,6.9,6.7,,,
180.0,7.0,9.0,,,,,1018.8,7.4,6.9,6.7,,,
180.0,7.0,8.0,0.8,,3.8,153.0,1018.8,7.5,6.9,6.8,,,
180.0,8.0,9.0,0.8,5.0,3.8,153.0,1018.6,7.6,6.8,6.9,,,
180.0,8.0,9.0,,,,,1018.8,7.7,6.8,7.0,,-2.3,
180.0,8.0,10.0,,,,,1018.7,7.8,6.8,7.1,,,
180.0,8.0,10.0,0.9,5.0,4.0,150.0,1018.7,7.8,6.8,7.2,,,
190.0,8.0,10.0,,,,,1018.7,8.0,6.8,7.3,,,
180.0,9.0,10.0,0.9,5.0,3.9,151.0,1018.2,8.1,6.7,7.4,,,
190.0,9.0,10.0,,,,,1018.6,8.2,6.7,7.5,,-1.9,
190.0,8.0,10.0,,,,,1018.4,8.2,6.7,7.5,,,
190.0,9.0,11.0,1.0,5.0,3.9,157.0,1018.3,8.2,6.7,7.5,,,
190.0,10.0,12.0,,,,,1018.1,8.2,6.7,7.5,,,
190.0,10.0,13.0,,,,,1017.9,8.2,6.7,7.5,,,
190.0,10.0,12.0,1.1,5.0,3.9,164.0,1017.9,8.2,6.7,7.5,,,
190.0,10.0,12.0,,,,,1017.8,8.2,6.7,7.6,,-1.9,
190.0,10.0,12.0,,,,,1018.1,8.2,6.7,7.6,,,
200.0,9.0,11.0,1.1,5.0,3.9,169.0,1018.4,8.2,6.7,7.6,,,
200.0,8.0,10.0,,,,,1018.3,8.1,6.8,7.4,,,
200.0,8.0,10.0,,,,,1018.0,8.2,6.8,7.6,,,
200.0,8.0,9.0,1.1,5.0,4.0,158.0,1018.2,8.3,6.8,7.6,,,
200.0,8.0,9.0,,,,,1018.4,8.4,6.8,7.7,,-0.3,
210.0,7.0,8.0,,,,,1018.6,8.4,6.8,7.7,,,
210.0,7.0,8.0,1.2,5.0,4.1,158.0,1018.7,8.3,6.8,7.6,,,
210.0,6.0,8.0,,,,,1018.7,8.1,6.8,7.4,,,
210.0,6.0,7.0,,,,,1018.7,8.0,6.8,7.4,,,
210.0,7.0,8.0,1.2,5.0,4.0,164.0,1018.7,7.9,6.8,7.3,,,
210.0,7.0,8.0,,,,,1018.7,7.9,6.8,7.3,,0.3,
210.0,6.0,7.0,,,,,1018.8,7.9,6.8,7.3,,,
210.0,5.0,7.0,1.2,5.0,4.2,172.0,1019.0,7.8,6.8,7.2,,,
220.0,5.0,6.0,,,,,1019.1,7.8,6.8,7.2,,,
220.0,5.0,5.0,,,,,1019.1,7.8,6.8,7.2,,,
220.0,4.0,5.0,1.1,5.0,4.1,173.0,1019.1,7.8,6.8,7.2,,,
220.0,4.0,5.0,,,,,1019.0,7.7,6.8,7.1,,1.4,
230.0,4.0,4.0,,,,,1019.3,7.6,6.8,7.0,,,
240.0,4.0,5.0,1.1,5.0,4.2,168.0,1019.2,7.6,6.8,7.0,,,
260.0,4.0,5.0,,,,,1019.8,7.8,6.8,7.3,,,
270.0,3.0,4.0,,,,,1019.6,8.2,6.8,7.6,,,
270.0,3.0,5.0,1.0,6.0,4.3,169.0,1019.8,8.8,6.8,8.2,,,
270.0,3.0,5.0,,,,,1019.9,9.0,6.8,8.3,,1.4,
290.0,5.0,6.0,,,,,1020.1,9.0,6.8,8.2,,,
300.0,4.0,5.0,0.9,5.0,4.4,167.0,1019.9,8.7,6.8,7.9,,,
290.0,5.0,6.0,,,,,1019.9,8.6,6.8,7.8,,,
290.0,6.0,7.0,,,,,1019.9,8.8,6.8,8.1,,,
280.0,5.0,6.0,0.9,5.0,4.4,171.0,1020.0,8.7,6.8,7.9,,,
290.0,5.0,6.0,,,,,1020.1,8.6,6.8,7.9,,1.4,
290.0,6.0,6.0,,,,,1020.2,8.5,6.8,7.8,,,
290.0,5.0,6.0,0.9,5.0,4.3,171.0,1020.3,8.4,6.8,7.7,,,
290.0,5.0,6.0,,,,,1020.3,8.2,6.8,7.5,,,
280.0,5.0,6.0,,,,,1020.7,8.3,6.7,7.6,,,
280.0,6.0,7.0,0.9,6.0,4.4,150.0,1020.8,8.6,6.7,7.8,,,
280.0,6.0,7.0,,,,,1020.9,8.8,6.7,7.8,,1.8,
280.0,5.0,6.0,,,,,1020.9,8.5,,7.5,,,
290.0,6.0,7.0,0.9,6.0,4.4,158.0,1020.9,8.4,6.7,7.5,,,
290.0,6.0,7.0,,,,,1020.9,8.7,6.7,7.7,,,
290.0,6.0,7.0,,,,,1020.9,8.6,6.7,7.6,,,
290.0,6.0,7.0,0.9,6.0,4.3,149.0,1021.0,8.4,6.7,7.4,,,
290.0,6.0,7.0,,,,,1021.2,8.7,6.7,7.6,,1.2,
290.0,6.0,7.0,,,,,1021.4,8.4,6.7,7.3,,,
290.0,6.0,7.0,0.9,6.0,4.4,157.0,1021.4,8.1,6.7,7.1,,,
290.0,5.0,6.0,,,,,1021.2,8.1,6.7,7.0,,,
290.0,6.0,7.0,,,,,1021.4,8.1,6.6,7.0,,,
300.0,6.0,7.0,0.9,5.0,4.5,164.0,1021.5,8.0,6.6,6.9,,,
300.0,6.0,6.0,,,,,1021.8,7.9,6.6,6.7,,1.6,
300.0,5.0,6.0,,,,,1021.5,7.8,6.6,6.6,,,
300.0,6.0,7.0,0.8,6.0,4.5,151.0,1021.7,7.7,6.6,6.6,,,
300.0,6.0,7.0,,,,,1021.9,7.6,6.6,6.5,,,
300.0,5.0,6.0,,,,,1021.7,7.5,6.6,6.4,,,
310.0,5.0,6.0,0.7,6.0,4.6,156.0,1021.7,7.4,6.6,6.3,,,
310.0,5.0,6.0,,,,,1021.7,7.3,6.6,6.2,,0.9,
320.0,5.0,5.0,,,,,1022.0,7.1,6.5,6.1,,,
320.0,5.0,6.0,0.7,6.0,4.7,165.0,1021.8,7.0,6.4,5.9,,,
320.0,5.0,5.0,,,,,1021.7,7.0,6.4,5.5,,,
320.0,4.0,5.0,,,,,1021.9,7.1,6.4,5.2,,,
340.0,4.0,5.0,0.7,5.0,4.7,160.0,1021.8,7.2,6.4,4.8,,,
340.0,4.0,5.0,,,,,1022.0,7.4,6.3,4.6,,1.0,
340.0,4.0,5.0,,,,,1022.3,7.4,6.4,4.7,,,
340.0,5.0,6.0,0.7,6.0,4.8,167.0,1022.4,7.6,6.4,4.4,,,
350.0,5.0,6.0,,,,,1022.5,7.6,6.4,4.3,,,
350.0,5.0,6.0,,,,,1022.6,7.5,6.4,4.3,,,
350.0,5.0,6.0,0.7,6.0,4.9,152.0,1022.6,7.4,6.4,4.3,,,
350.0,5.0,6.0,,,,,1022.6,7.3,6.5,4.3,,0.9,
360.0,5.0,5.0,,,,,1022.6,7.1,6.5,4.4,,,
360.0,5.0,5.0,0.6,5.0,4.8,151.0,1022.8,7.2,6.5,4.4,,,
360.0,5.0,5.0,,,,,1022.8,7.1,6.5,4.2,,,
10.0,5.0,5.0,,,,,1022.6,7.2,6.6,4.1,,,
10.0,4.0,5.0,0.6,5.0,4.7,155.0,1022.5,7.1,6.6,4.2,,,
10.0,4.0,5.0,,,,,1022.8,7.1,6.6,4.1,,1.0,
10.0,4.0,5.0,,,,,1023.0,7.0,6.6,4.1,,,
20.0,4.0,5.0,0.6,6.0,4.8,165.0,1023.1,7.0,6.6,4.1,,,
20.0,5.0,6.0,,,,,1023.0,7.0,6.7,3.4,,,
30.0,5.0,6.0,,,,,1023.2,6.9,6.7,3.5,,,
30.0,4.0,5.0,0.6,6.0,4.7,159.0,1023.6,6.9,6.7,3.6,,,
20.0,4.0,5.0,,,,,1023.9,6.9,6.8,3.8,,1.9,
20.0,5.0,6.0,,,,,1023.7,6.8,6.8,3.8,,,
20.0,5.0,7.0,0.6,5.0,4.4,162.0,1023.9,6.8,6.8,3.6,,,
30.0,5.0,6.0,,,,,1023.8,6.7,6.8,3.3,,,
40.0,5.0,6.0,,,,,1023.7,6.7,6.8,3.3,,,
50.0,5.0,6.0,0.7,5.0,4.4,168.0,1024.0,6.6,6.9,2.8,,,
50.0,6.0,7.0,,,,,1023.6,6.5,6.9,2.5,,0.9,
50.0,6.0,7.0,,,,,1023.3,6.5,6.9,2.5,,,
50.0,6.0,7.0,0.6,5.0,4.0,166.0,1023.1,6.4,6.9,2.9,,,
50.0,5.0,7.0,,,,,1023.0,6.2,6.9,2.9,,,
50.0,5.0,7.0,,,,,1023.3,6.2,6.9,2.3,,,
50.0,5.0,6.0,0.7,5.0,4.1,167.0,1023.7,6.2,7.0,1.9,,,
60.0,4.0,6.0,,,,,1023.3,6.2,7.0,1.6,,0.5,
60.0,5.0,6.0,,,,,1022.5,6.1,7.0,1.5,,,
70.0,5.0,7.0,0.7,5.0,4.0,157.0,1022.9,6.0,7.0,1.2,,,
60.0,4.0,5.0,,,,,1022.8,6.0,7.1,1.3,,,
60.0,4.0,5.0,,,,,1022.7,5.9,7.0,1.3,,,
60.0,5.0,5.0,0.7,5.0,4.1,153.0,1022.6,5.9,7.0,1.4,,,
50.0,5.0,5.0,,,,,1021.9,5.8,7.0,1.4,,-2.1,
60.0,5.0,6.0,,,,,1021.4,5.6,7.0,1.6,,,
60.0,5.0,6.0,0.7,5.0,4.1,166.0,1021.1,5.6,7.0,2.1,,,
60.0,5.0,6.0,,,,,1021.0,5.6,7.0,2.1,,,
50.0,4.0,5.0,,,,,1021.5,5.6,7.1,2.1,,,
50.0,5.0,5.0,0.7,5.0,4.2,170.0,1021.4,5.6,7.1,2.1,,,
